person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,0.59,Y,3
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0.1,N,2
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,0.57,N,3
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,0.53,N,2
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,0.55,Y,4
21,9900,OWN,2.0,VENTURE,A,2500,7.14,0.25,N,2
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,0.45,N,3
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,0.44,N,4
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,0.42,N,2
21,10000,OWN,6.0,VENTURE,D,1600,14.74,0.16,N,3
